date,temp-avg
2022-01-01,3.04375
2022-01-02,3.985
2022-01-03,5.7225
2022-01-04,6.5275
2022-01-05,4.45125
2022-01-06,2.92625
2022-01-07,4.4925
2022-01-08,5.5125
2022-01-09,7.75625
2022-01-10,8.20125
2022-01-11,6.89375
2022-01-12,5.61375
2022-01-13,5.45875
2022-01-14,4.66875
2022-01-15,5.4
2022-01-16,6.48
2022-01-17,7.19
2022-01-18,4.81625
2022-01-19,3.98625
2022-01-20,4.3825
2022-01-21,3.7475
2022-01-22,4.23375
2022-01-23,5.545
2022-01-24,7.2625
2022-01-25,5.135
2022-01-26,5.76
2022-01-27,7.065
2022-01-28,5.545
2022-01-29,5.255
2022-01-30,5.5875
2022-01-31,5.075
2022-02-01,5.6025
2022-02-02,6.895
2022-02-03,6.54875
2022-02-04,5.11125
2022-02-05,5.46375
2022-02-06,3.48875
2022-02-07,4.065
2022-02-08,4.52125
2022-02-09,6.49875
2022-02-10,4.54125
2022-02-11,5.2475
2022-02-12,5.53875
2022-02-13,5.87125
2022-02-14,5.2175
2022-02-15,6.5575
2022-02-16,6.34375
2022-02-17,4.9125
2022-02-18,6.3775
2022-02-19,6.1375
2022-02-20,6.36
2022-02-21,4.61375
2022-02-22,5.1375
2022-02-23,4.41
2022-02-24,4.7025
2022-02-25,5.77125
2022-02-26,8.1625
2022-02-27,10.0762
2022-02-28,8.7325
2022-03-01,11.39
2022-03-02,10.4475
2022-03-03,9.37875
2022-03-04,7.8175
2022-03-05,12.1112
2022-03-06,8.97125
2022-03-07,7.73125
2022-03-08,7.24375
2022-03-09,8.53125
2022-03-10,9.5025
2022-03-11,12.6912
2022-03-12,14.5025
2022-03-13,14.7
2022-03-14,17.5975
2022-03-15,14.36
2022-03-16,15.6025
2022-03-17,14.8275
2022-03-18,10.1775
2022-03-19,12.2513
