日付,時刻,天気,説明,気温,最高気温,最低気温,湿度
2022-03-09,12:00:00,Clouds,薄い雲,8.94,9.59,8.94,45
2022-03-09,15:00:00,Clouds,薄い雲,10.29,11.12,10.29,38
2022-03-09,18:00:00,Clouds,雲,11.37,11.37,11.37,31
2022-03-09,21:00:00,Clouds,雲,9.82,9.82,9.82,46
2022-03-10,00:00:00,Clear,晴天,8.61,8.61,8.61,49
2022-03-10,03:00:00,Clear,晴天,7.72,7.72,7.72,55
2022-03-10,06:00:00,Clear,晴天,7.05,7.05,7.05,57
2022-03-10,09:00:00,Clouds,薄い雲,8.65,8.65,8.65,49
2022-03-10,12:00:00,Clouds,曇りがち,10.78,10.78,10.78,41
2022-03-10,15:00:00,Clouds,曇りがち,12.54,12.54,12.54,37
2022-03-10,18:00:00,Clouds,薄い雲,12.16,12.16,12.16,44
2022-03-10,21:00:00,Clouds,薄い雲,11.41,11.41,11.41,55
2022-03-11,00:00:00,Clear,晴天,10.89,10.89,10.89,60
2022-03-11,03:00:00,Clear,晴天,9.86,9.86,9.86,61
2022-03-11,06:00:00,Clear,晴天,8.34,8.34,8.34,58
2022-03-11,09:00:00,Clear,晴天,10.33,10.33,10.33,50
2022-03-11,12:00:00,Clear,晴天,14.49,14.49,14.49,41
2022-03-11,15:00:00,Clear,晴天,16.57,16.57,16.57,33
2022-03-11,18:00:00,Clear,晴天,15.95,15.95,15.95,40
2022-03-11,21:00:00,Clouds,薄い雲,14.38,14.38,14.38,45
2022-03-12,00:00:00,Clear,晴天,12.78,12.78,12.78,41
2022-03-12,03:00:00,Clear,晴天,11.13,11.13,11.13,45
2022-03-12,06:00:00,Clear,晴天,10.17,10.17,10.17,46
2022-03-12,09:00:00,Clear,晴天,12.5,12.5,12.5,39
2022-03-12,12:00:00,Clear,晴天,15.74,15.74,15.74,30
2022-03-12,15:00:00,Clear,晴天,17.18,17.18,17.18,28
2022-03-12,18:00:00,Clear,晴天,15.75,15.75,15.75,37
2022-03-12,21:00:00,Clear,晴天,13.78,13.78,13.78,67
2022-03-13,00:00:00,Clouds,厚い雲,13.02,13.02,13.02,73
2022-03-13,03:00:00,Clouds,厚い雲,12.18,12.18,12.18,75
2022-03-13,06:00:00,Clouds,厚い雲,11.47,11.47,11.47,77
2022-03-13,09:00:00,Clouds,厚い雲,12.65,12.65,12.65,70
2022-03-13,12:00:00,Clouds,厚い雲,15.58,15.58,15.58,52
2022-03-13,15:00:00,Clouds,厚い雲,17.43,17.43,17.43,46
2022-03-13,18:00:00,Clouds,厚い雲,17.39,17.39,17.39,52
2022-03-13,21:00:00,Clouds,厚い雲,16.2,16.2,16.2,56
2022-03-14,00:00:00,Clouds,厚い雲,15.28,15.28,15.28,59
2022-03-14,03:00:00,Clouds,厚い雲,14.72,14.72,14.72,64
2022-03-14,06:00:00,Clouds,厚い雲,14.28,14.28,14.28,60
2022-03-14,09:00:00,Clouds,厚い雲,16.19,16.19,16.19,49
